Name,Rolle,Original_Rolle,ID,Titel,Art,Zielgruppe,Chronologische_Sortierung,Herkunftsland
Afsaneh Mahian,"Regie, Text & Dramaturgie","Text, Regie",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Agus Margiyanti,"Beni Sanjaya, Hardiansyah Yoga, Muhammad Alhaq, Performance, Produktion & Management","Mit
Puppenspieler:innen:
Anton Fajri, Beni Sanjaya, Pambo Priyojati, Hardiansyah Yoga, Muhammad Alhaq, Agus Margiyanti
Tänzer:innen:",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Ahmed El Attar,"Regie, Text & Dramaturgie","Regie, Text",A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Apetunpe (Rekpo,"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Benjamin Hotz,"Musik & Sound, Text & Dramaturgie, Video & Medien","Konzept, Kreation
Mia Rushton, Eric Muschopedis
Video",A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Bühne,"Regie, Text & Dramaturgie","Text, Regie",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Bühne,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Camila Pérez,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Camilo Yáñez,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Choreografie,Regie,"Autor:in
Darsteller:innen
Regie",A_060,Amadoka,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,19,Czech Republic
Choreografie,Text & Dramaturgie,Autor:in,A_061,Split Tooth: Saputjiji,Musiktheater,Erwachsene & Junge Erwachsene,4,Kanada
Clement Baade,Performance,Darsteller:innen,A_025,When the World Turns,,,,Australien
Co - Regie,Performance,Darsteller:innen,A_025,When the World Turns,,,,Australien
Co-Regie,"Kreation, Regie, Text & Dramaturgie","Konzept, Kreation, Regie",A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Consuelo Miranda,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Craig Quintero,"Regie, Text & Dramaturgie","Regie, Text",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Darsteller:innen,Text & Dramaturgie,Autor:in,A_061,Split Tooth: Saputjiji,Musiktheater,Erwachsene & Junge Erwachsene,4,Kanada
David Pidd,Performance,Darsteller:innen,A_025,When the World Turns,,,,Australien
Dramaturgie,"Von, mit",Von und mit,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Dramaturgie,Regie,"Autor:in
Darsteller:innen
Regie",A_060,Amadoka,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,19,Czech Republic
Dramaturgie,Text & Dramaturgie,Autor:in,A_061,Split Tooth: Saputjiji,Musiktheater,Erwachsene & Junge Erwachsene,4,Kanada
Dramaturgie,"Von, mit:",Von und mit:,A_081,FAMILY TRIANGLE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Dušan David Pařízek,Regie,"Autor:in
Darsteller:innen
Regie",A_060,Amadoka,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,19,Czech Republic
Elena Bechter,Mit,Mit,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
FFT Düsseldorf,Produktion & Management,Koproduktion,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Figurendesign,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
HAU Hebbel am Ufer,Produktion & Management,Koproduktion,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Heidi Abderhalden,"Regie, Text & Dramaturgie","Konzept, Regie, Dramaturgie",A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Hung Chien-Han,"Von, mit:",Von und mit:,A_081,FAMILY TRIANGLE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Hung Wei-Yao,"Von, mit:",Von und mit:,A_081,FAMILY TRIANGLE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Hélène Ducharme,"Von, mit",Von und mit,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Idee und mit,"Regie, Text & Dramaturgie","Text, Regie",A_028,Mezok,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,22,Indien
Ivo Dimchev,"Choreografie, Performance, Text & Dramaturgie","Text, Choreografie, Performance",A_103,DI/Strauss technique,Performance,Erwachsene & Junge Erwachsene,15,Bulgarien
Jeong Seyoung,"Kreation, Regie, Text & Dramaturgie","Konzept, Kreation, Regie",A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Jingwen Li,Mit,Mit,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Juan Pablo Gómez,"Regie, Text & Dramaturgie","Regie, Text",A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Jyoti Dogra,"Regie, Text & Dramaturgie","Text, Regie",A_028,Mezok,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,22,Indien
KANO Utowa,"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Keira Lyons,Mit:,Mit:,A_023,Paper Planet,Installation,Familien,3,Australien
Keli Freitas,"Regie, Text & Dramaturgie","Regie, Dramaturgie",A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Komposition,"Kreation, Regie, Text & Dramaturgie","Konzept, Kreation, Regie",A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Kostüm,"Regie, Text & Dramaturgie","Text, Regie",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
