Name,Rolle,Original_Rolle,ID,Titel,Art,Zielgruppe,Chronologische_Sortierung,Herkunftsland
Basma Hamed,Produktion & Management,PR & Marketing,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Behaviour Interactive,"Bühne & Ausstattung, Video & Medien","3D assets, environments and VFX",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Belén Abarza,Bühne & Ausstattung,Szenografie,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Beni Sanjaya,"Performance, Puppenherstellung","Darsteller:innen / Puppenspieler:innen, Puppenherstellung",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Benjamin Hotz,Video & Medien,Video,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Berlin,Produktion & Management,Koproduktion,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Berliner Festpiele,Produktion & Management,Koproduktion,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Bhanuka Ekanayake,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Bianca Eden,Produktion & Management,Produktionsleitung,A_023,Paper Planet,Installation,Familien,3,Australien
Bogota,Produktion & Management,Produktion,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
CALOSH,Förderung & Partner,Unterstützt durch,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Camila Pérez,Darstellende,Darstellende,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Camilo Yáñez,Darstellende,Darstellende,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Canada Council for the Arts,Förderung & Partner,Unterstützt durch,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Canada Media Fund,Technik,With the support of,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Carl Johnson,Bühne & Ausstattung,"Scenic Painting, Set Design",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Carolina Saade,Darstellende,Darstellende,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Caroline Robert,Video & Medien,2D animation of drowning,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Centro Nacional de las Artes,Produktion & Management,Produktion,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Chae-ri Won,Darstellende,Darstellende,A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Chang-Chih Chen,Bühne & Ausstattung,Scenic Painting,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Chang-Hao Wang,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Chantal Labonté,Licht,Lichtdesign,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Charlie Aström,Licht,Lichtdesign,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Chathuranga Thilakarathna,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Cheng Chao-En,Musik & Sound,"Musik, Sound",A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Cheng Han-Wen,Produktion & Management,Taiwanesische Produktion,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Chih-Chen Hsu,Bühne & Ausstattung,Stage Technical Consultant,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Chin-Lun Kao,Musik & Sound,Sound Designer,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Christoph Lepschy,Text & Dramaturgie,Dramaturgie,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Chung Pin-Chiao,Bühne & Ausstattung,Stage Management Premiere,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Ciprian Marinescu,Text & Dramaturgie,Übersetzung,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Claude Rodrigue,"Bühne & Ausstattung, Puppen-",Puppen- & Requisitendesign,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Claudine Rivest,Förderung & Partner,Kreative Unterstützung,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Cleo da Fonseca,Text & Dramaturgie,Übersetzung (Portugiesisch),A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Coline Delbaere,Produktion & Management,PHI Studio Executive Producers,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Compagnie La Nuit te soupire,Produktion & Management,Produktion,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Consuelo Miranda,Darstellende,Darstellende,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Cornelia Winkler,Text & Dramaturgie,Übersetzung,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Craig Quintero,"Bühne & Ausstattung, Regie, Text & Dramaturgie","Regie, Text, Set Design",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Cynthia Gosselin-Bouchard,Produktion & Management,Produktionsleitung,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
DRAC Nouvelle-Aquitaine,Förderung & Partner,Unterstützt durch,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Daphney Chen,Choreografie,Choreografie,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Daphnée Cardinal,"Handwerk: Wassergefäße, Produktion & Management","Handwerk: Wassergefäße, Tourleitung",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
David Egger,Video & Medien,Video,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Design and Architecture,Förderung & Partner,Unterstützt durch,A_104,Kafka's Ape,Physical Theatre,Erwachsene,8,South Africa
Deva Surya Sena Center,Förderung & Partner,Unterstützt durch,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Diego Materyn,Text & Dramaturgie,Textmitarbeit,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Diffusions Artistiques Carcajou,"Performance, Produktion & Management",Gastspielorganisation / Booking,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Dohyeon Yoo,Darstellende,Darstellende,A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Dominga Gutiérrez,Produktion & Management,Creative Producer,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Doreen Day,Musik & Sound,„Nibi Song“ Komposition,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Doriana Talmazan,Darstellende,Darstellende,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Dramane Dembélé,Musik & Sound,"Livemusik, Musik",A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Duminda Sandaruwan,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
EU–Japan Fest Japan Committee,Förderung & Partner,Unterstützt durch,A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Edbe Jao Jiube,Performance,Teilnehmende,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Editions Quartett,Verlegung Französisch,Verlegung Französisch,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Edouard Lock,Choreografie,The Sheep Woman's choreography,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Ega Kuspriyanto,Puppenherstellung,Puppenherstellung,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Eine Produktion der Wiener Festwochen.,Produktion & Management,Produktion,A_103,DI/Strauss technique,Performance,Erwachsene & Junge Erwachsene,15,Bulgarien
Eirini Mpountali,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Elena Bechter,Darstell:innen,Darstell:innen,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Elisabet Ràfols,"Englisch, Spanisch), Text & Dramaturgie","Übersetzung (Französisch, Englisch, Spanisch)",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Elizabeth Lima,Produktion & Management,Stimmcoach (Vogelimprovisation),A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Elsa Romero,"Bühne & Ausstattung, Kostüm & Maske","Szenografie, Kostümbild",A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Enas Abd El Rahman,Grafik,Grafik,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Enrique Amido,Darstellende,Darstellende,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Esmeralda Vasquez,Musik & Sound,Gesangscoach,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Esufally Foundation,Förderung & Partner,Unterstützt durch,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Eudosia Mutumbajoy,Performance,Mit den Stimmen von,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Eusebia Yanangona,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Evelyn Schreiber,Text & Dramaturgie,Übersetzung Deutsch,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
FFT Düsseldorf,Produktion & Management,Koproduktion,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Fatima Aïbout,Performance,Voicecover,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Febrinawan Prestianto,Produktion & Management,Produktionsmanagement,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Floyd Favel,Produktion & Management,Protokollberatung (Norden),A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Fondo Metropolitano,Förderung & Partner,Unterstützt durch,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Frannie Holder,Musik & Sound,"Musik-, Sounddesign",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Frédéric Auger,Musik & Sound,Klangraum / Sound-Spatialisation,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Fundación Cazadores,Förderung & Partner,Unterstützt durch,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Funique VR,Video & Medien,360° Films,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Galpón de Guevara,Förderung & Partner,Unterstützt durch,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Game On,Video & Medien,Motion Capture Data Processing,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Gateshead International Festival of Theatre (GIFT) (England),Förderung & Partner,Unterstützt durch,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Gesine Moog,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Gilang Kusuma,Video & Medien,Multimedia-Design,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Gilnaz Yousefian,"Produktion & Management, Regie, Text & Dramaturgie","Regieassistenz, Übersetzung, Internationale Beziehungen",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Gomene Digbeu Stepahne,Darstellende,Darstellende,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Goualy Gbahi Rachelle,Darstellende,Darstellende,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Goualy Rachelle,Choreografie,Choreografie,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Grissel P. Manganelli,Licht,Licht Design,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Guadalupe Otheguy,"Chorarrangements, Darstellende, Regie","Chorarrangements, Darstellende, Musikregie",A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
HANADA Yuki,Assistenz,Creative Assistant,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
HAU Hebbel am Ufer,Produktion & Management,Koproduktion,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
HIROSE Tact,Musik & Sound,Sound Creator,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Hakyeong Sim,Text & Dramaturgie,Prozessdokumentationsautor,A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Hardiansyah Yoga,"Performance, Puppenherstellung","Darsteller:innen / Puppenspieler:innen, Puppenherstellung",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Hassan Khan,Musik & Sound,Musik,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Heidi Abderhalden,"Regie, Text & Dramaturgie, Video & Medien","Konzept, Regie, Dramaturgie, Schnitt",A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Henri jules Julien,Produktion & Management,Producer,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Houra Al-Hazim,Kostüm & Maske,Maskenbild,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Hovnatan Avedikian,Performance,Darsteller:innen,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Hsiang Lin,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Hsiang-Ting Teng,Haptic Effects Control Integration,Haptic Effects Control Integration,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Huang Yong-Hsin,Video & Medien,Video,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Humboldt Forum Berlin,Produktion & Management,Koproduktion,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Hung Chien-Han,"Co-Creators, Darstellende","Co-Creators, Darstellende",A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Hung Wei-Yao,"Co-Creators, Darstellende","Co-Creators, Darstellende",A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Hussein Baydoun,"Bühne & Ausstattung, Kostüm & Maske","Szenografie, Kostümbild",A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Hélène Ducharme,"Performance, Regie, Text & Dramaturgie","Autorinnen, Darstellerinnen, Regie",A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
ICES,Förderung & Partner,Unterstützt durch,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
IP Lab,Video & Medien,Volumetric Capture,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
IWAYA Chinatsu,Produktion & Management,Technical Coordinator,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Ikram Al-Omari,Kostüm & Maske,Kostümbild,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
In Auftrag gegeben und produziert von Esplanade – Theatres on the Bay,Förderung & Partner,Unterstützt durch:,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
In a Strange Place was originally commissioned by Matchbox (Germany),Förderung & Partner,Unterstützt durch,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Institut italien Sénégal,Förderung & Partner,Unterstützt durch,A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
Instituto Nacional del Teatro,Förderung & Partner,Unterstützt durch,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Inês Mateus,Licht,Lichtbedienung,A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Isaac Veloso,"Musik & Sound, Technik, Video & Medien","Technische Direktion, Sound- & Videobedienung",A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Isabelle Chrétien,Förderung & Partner,Kreative Unterstützung,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Isao Kanemaki,"Darstellende, Regie, Video & Medien","Darstellende, Video, Regieassistenz",A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Ivo Dimchev,"Choreografie, Darstellende, Text & Dramaturgie","Darstellende, Text & Choreografie",A_103,DI/Strauss technique,Performance,Erwachsene & Junge Erwachsene,15,Bulgarien
Ivo Dimchev & Johann Strauss,Musik & Sound,Musik,A_103,DI/Strauss technique,Performance,Erwachsene & Junge Erwachsene,15,Bulgarien
Iwan Effendi,"Puppenbau & Design, Puppenherstellung, Regie, Video & Medien","Puppendesign, Illustration, Animation, Co-Regie, Puppenherstellung",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Jaapwun Ui Yao,Performance,Teilnehmende,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
